interaction_id,host_id,virus_id,source,index,method
9985203171942162433,14975736733574051164,18346352125791371250,HP3,1,PCR
7021433633929785709,715714297508212046,18346352125791371250,HP3,2,Antibodies
4364666771686372012,1835251220577791906,18346352125791371250,HP3,3,Antibodies
7943727857608439491,1096306331703369428,6337087174054177454,HP3,4,bcELISA
17723506782991358738,1096306331703369428,3390518629826330528,HP3,5,Antibodies
18297080800612643075,1096306331703369428,9581882684705546654,HP3,6,PCR
6539428980770207144,1096306331703369428,11556161315350657741,HP3,7,Antibodies
512421197995271221,1096306331703369428,13337709122351893854,HP3,8,Antibodies
8990818417695565133,1096306331703369428,163839097879216412,HP3,9,Antibodies
5967951852736146194,2475720266014927486,987719371652572623,HP3,10,Antibodies
8658757610809092890,2475720266014927486,17591725513422724516,HP3,11,Antibodies
4446149542025622592,2475720266014927486,3390518629826330528,HP3,12,Antibodies
15482161864626993108,2475720266014927486,17586860628219751084,HP3,13,SNT
4486301719483561877,2475720266014927486,6544785357539398567,HP3,14,Antibodies
1247726722514177995,2475720266014927486,3204245762854746900,HP3,15,Antibodies
2177680806803331780,2475720266014927486,3930713939635889593,HP3,16,Antibodies
13162085675593584108,2475720266014927486,10690037770775155769,HP3,17,Antibodies
732238397963519184,2475720266014927486,13768840976191858605,HP3,18,Antibodies
5752504743514464248,2652507486757730605,6544785357539398567,HP3,20,Antibodies
3214749121259986824,2652507486757730605,10690037770775155769,HP3,21,Antibodies
1180936965185411871,16201848109545987269,18346352125791371250,HP3,22,IFA
18146386644983328570,16201848109545987269,17848256795722436059,HP3,23,Isolation
5450931646355503752,16201848109545987269,1906091343367343176,HP3,24,Isolation
11944452155703615673,12056735723201456722,18346352125791371250,HP3,25,PCR
12068695701956039527,12056735723201456722,12389214836194063022,HP3,26,Isolation
579907157770946330,16006356837513587209,18346352125791371250,HP3,27,Antibodies
14503171233231473084,11644930653719793733,2323656111386752465,HP3,28,PCR
14446250900462501317,733052105569344167,18346352125791371250,HP3,29,Antibodies
7091478404376344616,15528005974109775687,987719371652572623,HP3,30,Antibodies
